Address,USB0::0x2A8D::0x3702::MY61001265::0::INSTR,
Model,EL33133A,
Serial Number:,MY61001265,
Firmware Version,1.2.9-1.0.6-17-114,
Start Time,2025-03-27 15:17:58.557,
Stop Time,2025-03-27 15:51:31.230,
Sample Period (s),0.5,
,,
Time (s) (s),V1 (DCVolt),P1 (Power)
2025-03-27 15:18:50.894,2.942228,2.942304
2025-03-27 15:18:51.411,2.941586,2.941664
2025-03-27 15:18:51.930,2.94156,2.941058
2025-03-27 15:18:52.447,2.941393,2.941423
2025-03-27 15:18:52.965,2.940952,2.940504
2025-03-27 15:18:53.483,2.940664,2.940414
2025-03-27 15:18:54.000,2.940237,2.940422
2025-03-27 15:18:54.518,2.940237,2.939733
2025-03-27 15:18:55.036,2.939647,2.93962
2025-03-27 15:18:55.554,2.939074,2.939222
2025-03-27 15:18:56.072,2.939641,2.93876
2025-03-27 15:18:56.589,2.939641,2.93876
2025-03-27 15:18:56.589,2.938888,2.938665
2025-03-27 15:18:57.107,2.938898,2.938498
2025-03-27 15:18:57.625,2.938427,2.938497
2025-03-27 15:18:58.142,2.938441,2.938288
2025-03-27 15:18:58.660,2.938044,2.93805
2025-03-27 15:18:59.178,2.937791,2.9375
2025-03-27 15:18:59.695,2.937659,2.93759
2025-03-27 15:19:00.213,2.937244,2.937055
2025-03-27 15:19:00.731,2.936799,2.936554
2025-03-27 15:19:01.249,2.936728,2.936163
2025-03-27 15:19:01.766,2.936293,2.936385
2025-03-27 15:19:02.285,2.936253,2.935891
2025-03-27 15:19:02.802,2.936081,2.935435
2025-03-27 15:19:03.319,2.935562,2.935011
2025-03-27 15:19:03.839,2.935304,2.934866
2025-03-27 15:19:04.355,2.934756,2.934835
2025-03-27 15:19:04.873,2.934501,2.934186
2025-03-27 15:19:05.391,2.934027,2.933998
2025-03-27 15:19:05.909,2.934005,2.933539
2025-03-27 15:19:06.426,2.933887,2.933964
2025-03-27 15:19:06.944,2.933901,2.933711
2025-03-27 15:19:07.462,2.933326,2.933254
2025-03-27 15:19:07.979,2.933115,2.932888
2025-03-27 15:19:08.497,2.933002,2.932787
2025-03-27 15:19:09.015,2.932966,2.932235
2025-03-27 15:19:09.533,2.932843,2.931837
2025-03-27 15:19:10.050,2.932081,2.932007
2025-03-27 15:19:10.568,2.931894,2.931768
2025-03-27 15:19:11.086,2.931894,2.931768
2025-03-27 15:19:11.087,2.931318,2.931199
2025-03-27 15:19:11.604,2.931313,2.931132
2025-03-27 15:19:12.121,2.931099,2.930909
2025-03-27 15:19:12.639,2.9306,2.930212
2025-03-27 15:19:13.157,2.930374,2.930364
2025-03-27 15:19:13.675,2.93012,2.930455
2025-03-27 15:19:14.192,2.930094,2.929707
2025-03-27 15:19:14.709,2.92999,2.929576
2025-03-27 15:19:15.227,2.929656,2.928972
2025-03-27 15:19:15.745,2.929227,2.928654
2025-03-27 15:19:16.263,2.929143,2.928917
2025-03-27 15:19:16.780,2.928868,2.928581
2025-03-27 15:19:17.298,2.928734,2.928418
2025-03-27 15:19:17.816,2.928267,2.928088
2025-03-27 15:19:18.334,2.927994,2.927631
2025-03-27 15:19:18.852,2.928056,2.927696
2025-03-27 15:19:19.370,2.927888,2.927391
2025-03-27 15:19:19.886,2.927521,2.927305
2025-03-27 15:19:20.404,2.927016,2.926873
2025-03-27 15:19:20.922,2.926924,2.926533
2025-03-27 15:19:21.440,2.926364,2.926254
2025-03-27 15:19:21.958,2.926669,2.926187
2025-03-27 15:19:22.475,2.925976,2.926037
2025-03-27 15:19:22.992,2.926133,2.925287
2025-03-27 15:19:23.510,2.925177,2.925164
2025-03-27 15:19:24.029,2.925096,2.924954
2025-03-27 15:19:24.546,2.924652,2.924645
2025-03-27 15:19:25.064,2.924464,2.924377
2025-03-27 15:19:25.582,2.924464,2.924377
2025-03-27 15:19:25.582,2.923951,2.924044
2025-03-27 15:19:26.099,2.924093,2.923432
2025-03-27 15:19:26.616,2.924014,2.923742
2025-03-27 15:19:27.134,2.923936,2.923808
2025-03-27 15:19:27.652,2.924008,2.923086
2025-03-27 15:19:28.170,2.92305,2.922975
2025-03-27 15:19:28.688,2.923007,2.922917
2025-03-27 15:19:29.206,2.923031,2.922606
2025-03-27 15:19:29.724,2.922515,2.922361
2025-03-27 15:19:30.241,2.921965,2.921905
2025-03-27 15:19:30.759,2.922016,2.921678
2025-03-27 15:19:31.276,2.921526,2.921353
2025-03-27 15:19:31.794,2.921421,2.920786
2025-03-27 15:19:32.311,2.921607,2.92069
2025-03-27 15:19:32.829,2.921083,2.921084
2025-03-27 15:19:33.347,2.920714,2.920065
2025-03-27 15:19:33.865,2.920165,2.920587
2025-03-27 15:19:34.383,2.920357,2.920193
2025-03-27 15:19:34.900,2.919941,2.91989
2025-03-27 15:19:35.418,2.920144,2.91944
2025-03-27 15:19:35.935,2.919692,2.91951
2025-03-27 15:19:36.453,2.919784,2.919091
2025-03-27 15:19:36.971,2.919035,2.919043
2025-03-27 15:19:37.488,2.918837,2.918881
2025-03-27 15:19:38.006,2.918857,2.918505
2025-03-27 15:19:38.524,2.9185,2.918532
2025-03-27 15:19:39.042,2.918187,2.918207
2025-03-27 15:19:39.560,2.917845,2.917664
2025-03-27 15:19:40.077,2.917845,2.917664
2025-03-27 15:19:40.077,2.917367,2.917128
2025-03-27 15:19:40.595,2.91714,2.91744
2025-03-27 15:19:41.113,2.917309,2.916979
2025-03-27 15:19:41.631,2.916618,2.916311
2025-03-27 15:19:42.148,2.916651,2.916566
2025-03-27 15:19:42.666,2.916171,2.915933
2025-03-27 15:19:43.184,2.916014,2.915366
2025-03-27 15:19:43.701,2.915803,2.915832
2025-03-27 15:19:44.219,2.91611,2.915524
2025-03-27 15:19:44.737,2.915285,2.915213
2025-03-27 15:19:45.254,2.915257,2.914929
2025-03-27 15:19:45.772,2.914596,2.914822
2025-03-27 15:19:46.290,2.914907,2.914879
2025-03-27 15:19:46.807,2.914511,2.914369
2025-03-27 15:19:47.326,2.914226,2.913586
2025-03-27 15:19:47.843,2.91358,2.913417
2025-03-27 15:19:48.361,2.913326,2.913368
2025-03-27 15:19:48.879,2.91334,2.912561
2025-03-27 15:19:49.397,2.912172,2.912482
2025-03-27 15:19:49.914,2.912873,2.912722
2025-03-27 15:19:50.432,2.912659,2.912659
2025-03-27 15:19:50.950,2.912769,2.912551
2025-03-27 15:19:51.468,2.912726,2.912265
2025-03-27 15:19:51.985,2.91209,2.911581
2025-03-27 15:19:52.503,2.912052,2.911664
2025-03-27 15:19:53.021,2.911751,2.911502
2025-03-27 15:19:53.538,2.911693,2.911308
2025-03-27 15:19:54.056,2.911252,2.910622
2025-03-27 15:19:54.573,2.910776,2.910271
2025-03-27 15:19:55.091,2.910776,2.910271
2025-03-27 15:19:55.091,2.910472,2.910569
2025-03-27 15:19:55.609,2.910643,2.910705
2025-03-27 15:19:56.127,2.91077,2.910474
2025-03-27 15:19:56.645,2.910028,2.910303
2025-03-27 15:19:57.163,2.910135,2.909706
2025-03-27 15:19:57.680,2.909717,2.909198
2025-03-27 15:19:58.199,2.909443,2.909253
2025-03-27 15:19:58.716,2.909246,2.908905
2025-03-27 15:19:59.234,2.908814,2.908447
2025-03-27 15:19:59.751,2.908887,2.908317
2025-03-27 15:20:00.269,2.908423,2.908187
2025-03-27 15:20:00.787,2.908166,2.908022
2025-03-27 15:20:01.306,2.908067,2.908003
2025-03-27 15:20:01.823,2.907587,2.907557
2025-03-27 15:20:02.341,2.907629,2.907398
2025-03-27 15:20:02.858,2.907634,2.907024
2025-03-27 15:20:03.375,2.906894,2.906447
2025-03-27 15:20:03.894,2.906804,2.906525
2025-03-27 15:20:04.410,2.906629,2.906045
2025-03-27 15:20:04.928,2.90651,2.906156
2025-03-27 15:20:05.447,2.906162,2.906075
2025-03-27 15:20:05.964,2.905829,2.905781
2025-03-27 15:20:06.482,2.905877,2.905469
2025-03-27 15:20:06.999,2.905958,2.905428
2025-03-27 15:20:07.517,2.905457,2.90536
2025-03-27 15:20:08.035,2.905039,2.904682
2025-03-27 15:20:08.553,2.90498,2.904298
2025-03-27 15:20:09.071,2.904931,2.904461
2025-03-27 15:20:09.589,2.904931,2.904461
2025-03-27 15:20:09.589,2.904467,2.903807
2025-03-27 15:20:10.106,2.904318,2.903932
2025-03-27 15:20:10.624,2.904244,2.90345
2025-03-27 15:20:11.142,2.903357,2.903655
2025-03-27 15:20:11.658,2.903868,2.903485
2025-03-27 15:20:12.177,2.903146,2.903239
2025-03-27 15:20:12.694,2.902775,2.902508
2025-03-27 15:20:13.213,2.90284,2.902194
2025-03-27 15:20:13.729,2.902774,2.902029
2025-03-27 15:20:14.248,2.902467,2.901556
2025-03-27 15:20:14.765,2.901911,2.901947
2025-03-27 15:20:15.283,2.901217,2.901613
2025-03-27 15:20:15.800,2.901154,2.901017
2025-03-27 15:20:16.318,2.90113,2.900342
2025-03-27 15:20:16.837,2.900776,2.900923
2025-03-27 15:20:17.354,2.901124,2.900496
2025-03-27 15:20:17.872,2.900952,2.900785
2025-03-27 15:20:18.389,2.90038,2.899848
2025-03-27 15:20:18.907,2.900141,2.900028
2025-03-27 15:20:19.425,2.899646,2.899822
2025-03-27 15:20:19.942,2.899521,2.899582
2025-03-27 15:20:20.460,2.899866,2.899175
2025-03-27 15:20:20.978,2.899295,2.899436
2025-03-27 15:20:21.496,2.899563,2.899011
2025-03-27 15:20:22.013,2.898646,2.898458
2025-03-27 15:20:22.531,2.898488,2.898517
2025-03-27 15:20:23.048,2.898143,2.898042
2025-03-27 15:20:23.567,2.898369,2.897711
2025-03-27 15:20:24.084,2.898369,2.897711
2025-03-27 15:20:24.084,2.897993,2.897677
2025-03-27 15:20:24.602,2.897099,2.896732
2025-03-27 15:20:25.120,2.897116,2.89673
2025-03-27 15:20:25.637,2.896426,2.896789
2025-03-27 15:20:26.155,2.896652,2.896695
2025-03-27 15:20:26.672,2.896478,2.895982
2025-03-27 15:20:27.191,2.895985,2.895833
2025-03-27 15:20:27.708,2.895987,2.895384
2025-03-27 15:20:28.226,2.895245,2.8948
2025-03-27 15:20:28.743,2.895175,2.895287
2025-03-27 15:20:29.261,2.895638,2.894819
2025-03-27 15:20:29.779,2.894917,2.89441
2025-03-27 15:20:30.297,2.894334,2.894252
2025-03-27 15:20:30.814,2.894833,2.894283
2025-03-27 15:20:31.332,2.8944,2.893608
2025-03-27 15:20:31.849,2.893969,2.893723
2025-03-27 15:20:32.367,2.894086,2.893726
2025-03-27 15:20:32.885,2.893699,2.893173
2025-03-27 15:20:33.403,2.893746,2.893334
2025-03-27 15:20:33.921,2.893385,2.892826
2025-03-27 15:20:34.438,2.893004,2.89252
2025-03-27 15:20:34.956,2.892653,2.892651
2025-03-27 15:20:35.474,2.892831,2.892346
2025-03-27 15:20:35.991,2.892166,2.892208
2025-03-27 15:20:36.509,2.892147,2.891612
2025-03-27 15:20:37.027,2.89197,2.891876
2025-03-27 15:20:37.545,2.891754,2.891105
2025-03-27 15:20:38.062,2.891354,2.890786
2025-03-27 15:20:38.580,2.891354,2.890786
2025-03-27 15:20:38.580,2.889851,2.889875
2025-03-27 15:20:39.098,2.890182,2.890321
2025-03-27 15:20:39.616,2.890238,2.889377
2025-03-27 15:20:40.133,2.8897,2.889881
2025-03-27 15:20:40.651,2.889762,2.889624
2025-03-27 15:20:41.169,2.889021,2.888687
2025-03-27 15:20:41.686,2.889118,2.888902
2025-03-27 15:20:42.204,2.889259,2.888468
2025-03-27 15:20:42.722,2.888676,2.888694
2025-03-27 15:20:43.239,2.88862,2.888648
2025-03-27 15:20:43.757,2.888838,2.88833
2025-03-27 15:20:44.275,2.888416,2.888101
2025-03-27 15:20:44.793,2.888107,2.887861
2025-03-27 15:20:45.312,2.888059,2.887467
2025-03-27 15:20:45.829,2.887558,2.888003
2025-03-27 15:20:46.346,2.887794,2.887382
2025-03-27 15:20:46.864,2.88696,2.886747
2025-03-27 15:20:47.382,2.88705,2.887061
2025-03-27 15:20:47.899,2.886665,2.886288
2025-03-27 15:20:48.417,2.88641,2.886094
2025-03-27 15:20:48.935,2.886605,2.886435
2025-03-27 15:20:49.453,2.886008,2.886168
2025-03-27 15:20:49.970,2.886203,2.885707
2025-03-27 15:20:50.489,2.885674,2.885516
2025-03-27 15:20:51.006,2.885722,2.88555
2025-03-27 15:20:51.524,2.885575,2.885396
2025-03-27 15:20:52.041,2.88499,2.884864
2025-03-27 15:20:52.559,2.885118,2.885072
2025-03-27 15:20:53.077,2.885118,2.885072
2025-03-27 15:20:53.077,2.884851,2.884595
2025-03-27 15:20:53.594,2.884738,2.884515
2025-03-27 15:20:54.112,2.884638,2.884188
2025-03-27 15:20:54.632,2.884184,2.883624
2025-03-27 15:20:55.148,2.883649,2.883788
2025-03-27 15:20:55.665,2.883731,2.883569
2025-03-27 15:20:56.183,2.883556,2.883085
2025-03-27 15:20:56.701,2.883256,2.882769
2025-03-27 15:20:57.218,2.883237,2.882948
2025-03-27 15:20:57.737,2.88271,2.882833
2025-03-27 15:20:58.255,2.882304,2.882037
2025-03-27 15:20:58.772,2.882289,2.882425
2025-03-27 15:20:59.290,2.882355,2.881879
2025-03-27 15:20:59.808,2.881869,2.881941
2025-03-27 15:21:00.326,2.882103,2.881696
2025-03-27 15:21:00.843,2.88158,2.881334
2025-03-27 15:21:01.360,2.881337,2.880879
2025-03-27 15:21:01.878,2.88089,2.880577
2025-03-27 15:21:02.396,2.881308,2.880617
2025-03-27 15:21:02.914,2.880581,2.880536
2025-03-27 15:21:03.432,2.880213,2.879924
2025-03-27 15:21:03.950,2.880221,2.879684
2025-03-27 15:21:04.467,2.879812,2.879733
2025-03-27 15:21:04.985,2.879564,2.8792
2025-03-27 15:21:05.503,2.879404,2.878927
2025-03-27 15:21:06.020,2.878954,2.878474
2025-03-27 15:21:06.538,2.878932,2.87881
2025-03-27 15:21:07.056,2.878751,2.878175
2025-03-27 15:21:07.573,2.878861,2.87852
2025-03-27 15:21:08.091,2.878861,2.87852
2025-03-27 15:21:08.091,2.87855,2.878039
2025-03-27 15:21:08.609,2.877753,2.8775
2025-03-27 15:21:09.127,2.877662,2.877214
2025-03-27 15:21:09.644,2.877345,2.877043
2025-03-27 15:21:10.162,2.877345,2.876788
2025-03-27 15:21:10.680,2.877255,2.876676
2025-03-27 15:21:11.198,2.876676,2.876344
2025-03-27 15:21:11.715,2.876745,2.876761
2025-03-27 15:21:12.233,2.876724,2.876722
2025-03-27 15:21:12.751,2.876711,2.876274
2025-03-27 15:21:13.269,2.876271,2.875518
2025-03-27 15:21:13.786,2.876171,2.875763
2025-03-27 15:21:14.305,2.875473,2.875389
2025-03-27 15:21:14.822,2.875265,2.875026
2025-03-27 15:21:15.340,2.875389,2.874827
2025-03-27 15:21:15.857,2.87544,2.874925
2025-03-27 15:21:16.375,2.874852,2.874656
2025-03-27 15:21:16.892,2.874425,2.87417
2025-03-27 15:21:17.410,2.874193,2.873898
2025-03-27 15:21:17.928,2.874272,2.873853
2025-03-27 15:21:18.446,2.873561,2.873777
2025-03-27 15:21:18.964,2.873242,2.87341
2025-03-27 15:21:19.481,2.873132,2.872866
2025-03-27 15:21:19.999,2.872782,2.872263
2025-03-27 15:21:20.517,2.872764,2.872497
2025-03-27 15:21:21.034,2.872975,2.872573
2025-03-27 15:21:21.552,2.872713,2.872023
2025-03-27 15:21:22.070,2.872176,2.872133
2025-03-27 15:21:22.588,2.872176,2.872133
2025-03-27 15:21:22.588,2.872147,2.871402
2025-03-27 15:21:23.106,2.871891,2.871701
2025-03-27 15:21:23.623,2.871762,2.871616
